city,date,aqi,co,o3
Ahmedabad,30-11-2020,5,520.71,130.18
Ahmedabad,01-12-2020,5,1682.28,0.73
Ahmedabad,02-12-2020,5,1815.8,0.17
Ahmedabad,03-12-2020,5,2296.45,0
Ahmedabad,04-12-2020,5,2189.64,0.02
Ahmedabad,05-12-2020,5,3845.22,0
Ahmedabad,06-12-2020,5,2883.91,0.02
Ahmedabad,07-12-2020,5,1628.88,0.02
Ahmedabad,08-12-2020,5,1735.69,0.59
Ahmedabad,09-12-2020,5,2857.21,0
Ahmedabad,10-12-2020,5,1762.39,1.54
Ahmedabad,11-12-2020,5,540.73,91.55
Ahmedabad,12-12-2020,5,1695.63,0.2
Ahmedabad,13-12-2020,5,3845.22,0
Ahmedabad,14-12-2020,5,1388.55,8.76
Ahmedabad,15-12-2020,5,2323.15,0
Ahmedabad,16-12-2020,5,807.76,53.64
Ahmedabad,17-12-2020,5,640.87,72.96
Ahmedabad,18-12-2020,5,727.65,66.52
Ahmedabad,19-12-2020,5,654.22,76.53
Ahmedabad,20-12-2020,4,520.71,59.37
Ahmedabad,21-12-2020,5,620.84,42.56
Ahmedabad,22-12-2020,5,961.3,13.95
Ahmedabad,23-12-2020,5,1522.06,0.12
Ahmedabad,24-12-2020,5,2510.07,0
Ahmedabad,25-12-2020,5,1148.22,4.78
Ahmedabad,26-12-2020,5,854.49,26.46
Ahmedabad,27-12-2020,5,3070.83,0
Ahmedabad,28-12-2020,5,574.11,71.53
Ahmedabad,29-12-2020,5,1041.41,4.07
Ahmedabad,30-12-2020,4,607.49,97.28
Ahmedabad,31-12-2020,5,527.38,105.86
Ahmedabad,01-01-2021,5,774.38,57.94
Ahmedabad,02-01-2021,5,767.71,70.81
Ahmedabad,03-01-2021,5,667.57,85.12
Ahmedabad,04-01-2021,5,1081.47,55.08
Ahmedabad,05-01-2021,5,907.9,89.41
Ahmedabad,06-01-2021,5,921.25,69.38
Ahmedabad,07-01-2021,5,1094.82,18.42
Ahmedabad,08-01-2021,5,1388.55,6.53
Ahmedabad,09-01-2021,5,781.06,77.25
Ahmedabad,10-01-2021,5,934.6,13.05
Ahmedabad,11-01-2021,5,1041.41,20.92
Ahmedabad,12-01-2021,5,1575.47,0.24
Ahmedabad,13-01-2021,5,847.82,45.78
Ahmedabad,14-01-2021,4,720.98,41.84
Ahmedabad,15-01-2021,5,787.74,33.26
Ahmedabad,16-01-2021,5,4806.52,0
Ahmedabad,17-01-2021,5,3284.45,0
Ahmedabad,18-01-2021,5,2349.85,0
Ahmedabad,19-01-2021,5,2243.04,0
Ahmedabad,20-01-2021,5,1295.09,12.7
Ahmedabad,21-01-2021,5,5607.61,0
Ahmedabad,22-01-2021,5,2403.26,0.03
Ahmedabad,23-01-2021,5,6942.75,0
Ahmedabad,24-01-2021,5,747.68,40.77
Ahmedabad,25-01-2021,5,1441.96,5.1
Ahmedabad,26-01-2021,5,947.95,40.77
Ahmedabad,27-01-2021,4,587.46,80.11
Ahmedabad,28-01-2021,5,560.76,69.38
Ahmedabad,29-01-2021,5,947.95,16.99
Ahmedabad,30-01-2021,5,654.22,75.1
Ahmedabad,31-01-2021,5,727.65,56.51
Ahmedabad,01-02-2021,5,627.52,44.35
Ahmedabad,02-02-2021,5,988.01,34.33
Ahmedabad,03-02-2021,5,4058.84,0
Ahmedabad,04-02-2021,5,1922.61,0.21
Ahmedabad,05-02-2021,5,700.95,72.96
Ahmedabad,06-02-2021,5,988.01,47.92
Ahmedabad,07-02-2021,5,547.41,101.57
Ahmedabad,08-02-2021,5,660.9,72.24
Ahmedabad,09-02-2021,5,1268.39,13.59
Ahmedabad,10-02-2021,5,2990.72,0
Ahmedabad,11-02-2021,5,3685,0
Ahmedabad,12-02-2021,5,1468.66,12.88
Ahmedabad,13-02-2021,5,2002.72,0.02
Ahmedabad,14-02-2021,5,3257.75,0
Ahmedabad,15-02-2021,5,1735.69,1.61
Ahmedabad,16-02-2021,5,1268.39,0.78
Ahmedabad,17-02-2021,5,2082.82,0
Ahmedabad,18-02-2021,5,2803.8,0
Ahmedabad,19-02-2021,5,1108.17,34.33
Ahmedabad,20-02-2021,5,841.14,50.78
Ahmedabad,21-02-2021,5,1401.9,10.46
Ahmedabad,22-02-2021,5,1054.76,24.32
Ahmedabad,23-02-2021,5,3685,0
Ahmedabad,24-02-2021,5,2082.82,0.03
Ahmedabad,25-02-2021,5,1895.9,2.55
Ahmedabad,26-02-2021,5,1869.2,0.03
Ahmedabad,27-02-2021,5,540.73,65.8
Ahmedabad,28-02-2021,4,527.38,46.49
Ahmedabad,01-03-2021,5,1081.47,8.32
